Title,url,year
Joel Torgeson and Emily Huang - The Open 2019 - Showcase 7th Place - West Coast Swing,https://www.youtube.com//watch?v=eLNh6skfeUg,2019
Maxence Martin + Tatiana Mollmann | West Coast Swing Champions J&J - D-Townswing 2019,https://www.youtube.com//watch?v=GVdT63wsCPQ,2019
Swingtacular 2019 Champions JnJ - Robert Royston and Brynn Anderson,https://www.youtube.com//watch?v=KCaqlwGA6lo,2019
Ben Morris & Victoria Henk - BudaFest 2019 Pro Show - West Coast Swing Dance Routine,https://www.youtube.com//watch?v=sPB7opSo44k,2019
Boogie by the Bay 2019 All-Stars JnJ - Tim Kenny and Coralie Chastel 1st Place,https://www.youtube.com//watch?v=O7O1_0rUmqY,2019
The Open 2019 Showcase Glenn Ball & Callum Powell,https://www.youtube.com//watch?v=10mzn0feDOU,2019
Swingtacular 2019 Champions JnJ - Hugo Miguez and Victoria Henk,https://www.youtube.com//watch?v=dGhuZwo8fvM,2019
Boogie by the Bay 2019 Champions Strictly - Christopher Dummond and Alyssa Glanville,https://www.youtube.com//watch?v=UbOPCw6WE4g,2019
Jordan Frisbee & Tatiana Mollmann - Routines - Budafest 2019,https://www.youtube.com//watch?v=9uNLT_JOYVY,2019
Jake Haning and Mackenzie Goodmanson 2nd Place Classic Open swing championships 2019,https://www.youtube.com//watch?v=PcLk0x-ReVg,2019
Maxime & Torri Zzaoui Pro Show WOTP 2019,https://www.youtube.com//watch?v=Lp7Z2jcxz40,2019
Boogie by the Bay 2019 Champions JnJ - Benji Schwimmer and Victoria Henk,https://www.youtube.com//watch?v=YdfKCLjYsnA,2019
Boogie by the Bay 2019 Champions JnJ - Maxime Zzaoui and Melissa Rutz 2nd Place,https://www.youtube.com//watch?v=FCrIKdrDNBQ,2019
Gary McIntyre and Susan Kirklin US Open 2019 Classic Division,https://www.youtube.com//watch?v=XysPN0ac-rE,2019
Christopher Dumond and Chantelle Pianetta - US Open 2019 - Classic,https://www.youtube.com//watch?v=mUKnq2w7YwU,2019
Omar Gonzalez & Allysa Rees - All Star Strictly - Trilogy Swing 2019 (2/3),https://www.youtube.com//watch?v=RdQVjQoQ6BQ,2019
Kyle Redd & Emeline Rochefeuille - Summer Hummer 2019 - Champions Strictly Swing,https://www.youtube.com//watch?v=PynGIYZVwqg,2019
Samantha Buckwalter & Lauren Assaf - US OPEN - SHOWCASE - 2019,https://www.youtube.com//watch?v=5KvwqqFdd_o,2019
SWINGesota 2019 - Tribute Division - Jonathan Rogul & Casey Margules,https://www.youtube.com//watch?v=jMvD62eRCFg,2019
Ben Morris & Victoria Henk - Dutch Open 2019 Pro Show - Improv West Coast Swing Dance,https://www.youtube.com//watch?v=fDbSrtM3XZw,2019
Boogie by the Bay 2019 Champions Strictly - Ben McHenry and Courtney Adair,https://www.youtube.com//watch?v=a44FXcBLsls,2019
Kyle Redd & Emeline Rochefeuille - Summer Hummer 2019 - Champions Jack & Jill,https://www.youtube.com//watch?v=ygrI4oWnLUQ,2019
Dillon Luther & Alyssa Glanville - The Open Swing Dance Championships 2019 - Classic,https://www.youtube.com//watch?v=Uebhu2QpYFc,2019
The 2019 US Open Swing Dance Championships: Classic 3rd place: Ben & Cameo McHenry,https://www.youtube.com//watch?v=ao35pk32k5o,2019
Chicago Classic 2019 Champions Jack & Jill Philippe Berne & Lemery Rollins,https://www.youtube.com//watch?v=88ofTxFCero,2019
FOWCS 2019 ProAM Routine Quentin-Emmanuel Delage & Anne Renner,https://www.youtube.com//watch?v=SVcWrCJDlFQ,2019
Boogie by the Bay 2019 Champions Strictly - Jordan Frisbee and Sarah Vann Drake 4th Place,https://www.youtube.com//watch?v=13g02DVv16Y,2019
Boogie by the Bay 2019 Champions JnJ - Michael Kielbasa and Tatiana Mollmann,https://www.youtube.com//watch?v=aJHkm0S7pkA,2019
Semion Ovsiannikov & Maria Elizarova The Open 2019 Classic,https://www.youtube.com//watch?v=CIbhVhSZvSE,2019
Dillon Luther & Chantelle Pianetta - The Open 2019 - Showcase 5th Place,https://www.youtube.com//watch?v=B_2SnqH1JsQ,2019
Gregory Scott & Lemery Rollins - Summer Hummer 2019 - Champions Strictly Swing,https://www.youtube.com//watch?v=XIyfmmtlmjE,2019
Boogie by the Bay 2019 Champions Strictly - John Linda and Brandi Guild,https://www.youtube.com//watch?v=pBJMMm9xKMM,2019
Jordan Frisbee & Tatiana Mollmann - Summer Hummer 2019 - Champions Strictly Swing,https://www.youtube.com//watch?v=52zOK2k3E7Y,2019
Jordan Frisbee & Tatiana Mollmann - Summer Hummer 2019 - Champions Jack & Jill,https://www.youtube.com//watch?v=gLacKbIw_0U,2019
Jakub Jakoubek & Emeline Rochefeuille - Classic 4th Place - The Open 2019,https://www.youtube.com//watch?v=3Zz-kkr5PN8,2019
Thibault Ramirez and Nicole Clonch US Open Showcase 2019 Winners,https://www.youtube.com//watch?v=TRpgcLmKm0g,2019
The Open 2019 - Classic - Ken Rutland & Bryn Anderson,https://www.youtube.com//watch?v=EUZcN2MejNY,2019
Myles Munroe & Tessa Cunningham Munroe - US Open Showcase 2019,https://www.youtube.com//watch?v=rs0TXSCKBII,2019
The Open 2018   1st Place Winners   Rising Star   Rodrigo Thomaz and Dani Duram,https://www.youtube.com//watch?v=5BtUy3Ouc_U,2018
Robert Royston & Kellese Key 2018 UK & EU chest coast swing champs,https://www.youtube.com//watch?v=Gn44zf4yQYc,2018
Arjay Centeno and Mia Primavera- Paradise 2018-1st place Champions Jack and Jill- West Coast Swing.,https://www.youtube.com//watch?v=Wbg-wjjgP00,2018
The Open 2018 - Rising Star 2nd Place - Miguel Ortega & Angélique Pernotte,https://www.youtube.com//watch?v=YWunsrD7v4A,2018
Jack & Jill O'Rama 2018 Champions Jack & Jill  1st Place - Ben McHenry & Victoria Henk,https://www.youtube.com//watch?v=APYT2kYQrVQ,2018
The Open 2018   Classic Finals   Thibault Ramirez & Estelle Bonnaire,https://www.youtube.com//watch?v=z2OhfGK-zCQ,2018
Waltz Across Texas 2018 West Coast Swing,https://www.youtube.com//watch?v=uoeLI7YPwTw,2018
WEST IN LYON 2018 - QUENTIN EMMANUEL DELAGE & CAROLE MORDELLES - RISING STAR 4th place,https://www.youtube.com//watch?v=NDda4EYY0Ak,2018
Sean Mckeever & Courtney Adair - US Open 2018 4th place Classic Finals,https://www.youtube.com//watch?v=Nr-gmq4Cs60,2018
"Jordan Frisbee & Larisa Tingle, Phoenix 4th of July 2018, 1st Place Champions",https://www.youtube.com//watch?v=DzW0qCrj7xY,2018
Ben Morris & Patty Vo - Swing & Snow 2018 Pro Show Demo,https://www.youtube.com//watch?v=m77i-R1HqFQ,2018
RuOpen 2018. ProShow. Jordan Frisbee & Tatiana Mollmann,https://www.youtube.com//watch?v=3dY716c_wUQ,2018
"Tatiana Mollmann + Jordan Frisbee + Kyle Redd - ""Peel me a grape"" Show | Summer Hummer 2018",https://www.youtube.com//watch?v=6wNMWkIJMEA,2018
Quentin-Emmanuel Delage & Carole Mordelles - US Open Rising Star 2018,https://www.youtube.com//watch?v=eTnzGxJUXKo,2018
Semion Ovsiannikov & Maria Elizarova The Open 2018 Classic 2nd Place,https://www.youtube.com//watch?v=4WMPUtjtOUk,2018
The Open 2018   1st Place Winners   Showcase   Benji Schwimmer and Nicole Clonch,https://www.youtube.com//watch?v=eWWPHyJnIEI,2018
DCSX 2018 Rising Star Lia Brown & Helen Chao,https://www.youtube.com//watch?v=pS1fQkkB4mY,2018
Christopher Dumond and Victoria Henk - Scary Strictly - Halloween Swingthing 2018,https://www.youtube.com//watch?v=9UjtBX9_aTM,2018
